type,comment,username,timestamp,url
0,kjer koli so musliči so vedno težave! bosna prav tko.,Van Der Waals,"Friday, October 2, 2020 3:54 PM",https://nova24tv.si/svet/video-vojna-med-armenijo-in-azerbajdzanom-armenci-ze-stoletja-vecina-na-spornem-ozemlju-ki-vsemu-navkljub-ostaja-del-azerbejdzana/
0,"Star slovenski pregovor pravi ""kjer se osel valja, dlako pusti"".
Iz tega dejstva, kar to nedvoumno je, da so te odpadke pustile oblečene živali, ki vdirajo v slovensko krajino.

Okupatorji in veleizdajalci slovenskega naroda pa jim pravijo """"begunci"""", ki bežijo pred delom in so jim v tem tako podobni, da navijajo zanje.",Slovenec 33,"Friday, April 16, 2021 7:16 PM",https://nova24tv.si/lokalno/v-graciscu-organizirana-cistilna-akcija-cistili-bodo-za-ilegalnimi-migranti/
0,"KDAJ BODO TILE ZLOBNI MIGRANTIĆĆI SPOZNALI, DA BI MANJ NASTRADALI, ČE BI OSTALI DOMA ??? !!! ???",Zgornji,"Monday, March 22, 2021 12:49 PM",https://nova24tv.si/svet/tragicna-nesreca-na-hrvaski-avtocesti-umrli-stirje-migranti-19-pa-jih-je-ranjenih/
0,Res bi jim morali že pred prijavo v azilnem centru porezatti jajca.,Franc Šink,"Friday, March 5, 2021 1:00 PM",https://nova24tv.si/svet/na-kanarskih-otokih-migranti-posilili-36-letno-zensko-ki-jim-je-zelela-le-pomagati/
0,"a je kakšen razlog, da se na te satanove musli iztrebke ne strelja, ali ima policija vodne pištole ali kaj - pobiti, pobiti in samo pobiti in bo mir !!!",sunday,"Saturday, January 2, 2021 11:25 AM",https://nova24tv.si/svet/migranti-unicevali-ter-ustrahovali-tudi-v-avstrijski-prestolnici/
0,"Rožle vam že ves čas hoče dopovedat ...
da prihaja horda zla v Evropo, ..
za katere bodo tudi naši EU muslimani, za njih fejk muslimani ali pa celo neverniki ..",Rožle,"Thursday, January 14, 2021 12:40 AM",https://nova24tv.si/svet/video-mustafa-ruznic-migranti-povzrocili-7500-kaznivih-dejanj-in-posiljevali-mlada-dekleta-neznano-kam-izginilo-90-milijonov-evrov-za-resitev-migrantskega-vprasanja/
0,"policija zaskrbljena? ja streljati jih naj zacnejo in ne bodo vec zaskrbljeni, drugo si ti gnili musli satanovi iztrebki ne zasluzijo !!!",sunday,"Monday, January 4, 2021 3:53 PM",https://nova24tv.si/svet/razmere-v-bihacu-usle-izpod-nadzora-maroski-migranti-zabodli-drzavljana-bih-ti-predstavljajo-novo-nevarnost-saj-so-vsepovsod/#comment-5211970346
0,"Ja, sem videl podobne posnetke že lani , kako se Zlobni migrantičii brijejo norce iz poštenih ljudi !!! ! !!! AAAmpak, si ne predstavljate Česa Vsega Hudega so te Peklenske Pošasti v človeški preobleki še sposobne, Temveč, boste Kmalu sami videli + občutili , in to žal tudi na vaših otrocih !!! ! !!! Zato pa, ker jaz To Vem, sem toliko proti uvažanju teh Satanovih Hord Zla !!! ! !!! Krivi pa so v prvi vrsti za to naseljevanje Zla Samo Levuharji, potem pa deloma tudi mi desnaki, ker smo jim to Dovolili, ker smo bili Brezbrižni, Malomarni in Naivno-Popustljivi - Takrat , ko je bil Primernejši čas za To !!! ! !!! Sedaj je namreč že precej čas zaskrbljenosti (panike) !!! ! !!! Žal. Mir naj vam bo .",Zgornji,"Thursday, October 15, 2020 10:37 AM",https://nova24tv.si/svet/video-ilegalni-migranti-sredi-koronakrize-v-trgovinah-lizejo-izdelke-z-otrosko-hrano/
0,"JA, AMPAK TELE ZLOBNE MOHAMEDANSKE ZVERI SO PA PRECEJ SLABŠE KOT PA SVINJE, KAJ ŠELE KAKI OSLI ... PA ČEPRAV VEM, DA SI SAMO PREGOVOR ZAPISAL ... !!! ! !!!

TOREJ : NEK MOJ BRAT TAKOLE PRAVI GLEDE TEH NEČLOVEŠKIH IZRODKOV :

"" TI IZRODKI NA NAŠIH TLEH SO ISTO, KOT ČE BI SVINJO V DNEVNO SOBO PRIPELJAL !!! ""

IN NEK DRUG BRAT PA JE NA TO DODAL : "" AMEN : SVINJA BO ŠE NAPREJ SVINJALA PO DNEVNI SOBI , KER SE NE ZAVEDA KJE JE IN KAJ POČNE . ""

JAZ PA NA TO DODAJAM : TELE ZLOBNE ZVERI PA SO ŠE VELIKO HUJŠE KOT SAMO DIVJI PRAŠIČI !!! ! !!!

IN VSI TISTI, KI TAKŠNO UVAŽANJE TEH PEKLENSKIH IZRODKOV PODPIRAJO, OZIROMA DOVOLJUJEJO, SO PROTISLOVENSKI ZLOBNI UNIČEVALCI ŽIVLJENJA IN SLOVENSKEGA NARODA !!! ! !!!",Zgornji,"Wednesday, October 7, 2020 7:35 AM",https://nova24tv.si/slovenija/video-sokatno-poglejte-si-to-ekolosko-svinjarijo-ki-so-jo-za-seboj-pustili-ilegalni-migranti/
0,muslimane prepovedat !,skorpijon93,"Thursday, October 1, 2020 4:03 PM",https://nova24tv.si/svet/bihac-prizorisce-spopada-med-afganistanskimi-in-pakistanskimi-migranti-dva-mrtva-blizu-20-ranjenih/
0,Ne razlikujem afganistanca od pakistanca. Jaz sem vseglihar in zame je vsa ta golazen istiqrac!,RATATA,"Thursday, October 1, 2020 12:47 PM",https://nova24tv.si/svet/bihac-prizorisce-spopada-med-afganistanskimi-in-pakistanskimi-migranti-dva-mrtva-blizu-20-ranjenih/
0,"kaj vse si ta golazen muslimanska dovoli - gnili musli satanovi iztrebki - dajo jih v hotel, napolnijo jim podganje riti, gnili musli satanovi iztrebki pa ga zažgejo, samo v ta ogenj bi jih bilo potrebno zmetati, saj to niso ljudje, to kaj so sem opisal in to kažejo tudi sami - smrt vsem, ki nasilno vstopajo v deželo in tudi vsem tistim, ki jih vabijo saj izdajajo lasten narod in domovino !!!",sunday,"Friday, September 25, 2020 10:15 PM",https://nova24tv.si/svet/zaradi-odrejene-karantene-razjarjeni-ilegalni-migranti-v-italiji-zazgali-hotel-v-katerem-so-bili-nastanjeni/
0,"SO IZKLJUČNO SAMO BREME IN STROŠEK TILE MOHAMEDANSKI ZLOBNEŽI !!! ! !!! IN NAJHUJE JE TO, DA BODO SVOJ NAJHUJŠI OBRAZ ŠELE POKAZALI !!! ! !!!",Zgornji,"Sunday, September 20, 2020 6:30 PM",https://nova24tv.si/svet/migranti-tretjega-sveta-so-prej-strosek-in-breme-kot-resitev/
0,"Dober primer takega futranja migrantskih prašičev je bil pred leti v Kamniku, ko je župnik Gosar zalagal klošarja z denarjem, in , ko pa ga enkrat ni hotel dati, ga je klošar kratkomalo takoj ubil. In Isto bodo delali tile migrantiči, ki so pošasti kot tempirane bombe , čakajoče na napad !!! ! !!! JANEZ, BRANE, BENO, ALI VAM JE TO JASNO ?? ZATOREJ, HVALA VAM VNAPREJ ZA NUJNO PREVENTIVNO UKREPANJE . Mzv.",Zgornji,"Saturday, August 29, 2020 12:52 PM",https://nova24tv.si/slovenija/sekretar-kangler-nenadejano-obiskal-center-za-tujce-postojna-razmere-svetlobna-leta-od-koncentracijskega-taborisca-migranti-zauzijejo-do-3500-kalorij-na-dan/
0,"Tudi musli smradi se delajo norca iz povojnih žrtev, tako kot levajzl komiji. Ampak palica se bo kmalu obrnila.",McBobo,"Friday, August 28, 2020 2:02 PM",https://nova24tv.si/slovenija/sramota-ilegalni-migranti-smetijo-po-neoznacenih-grobiscih-pomorjenih-v-kocevskem-rogu/
